file,conf,method,vol_auc,slice_auc
BRATS_221.nii.gz,0.8947,occlusion,0.351236,0.882895
BRATS_221.nii.gz,0.8947,tcav_edema,0.986473,0.904524
BRATS_221.nii.gz,0.8947,tcav_enhancing,0.991975,0.904737
BRATS_221.nii.gz,0.8947,tcav_non_enhancing,0.978897,0.904112
BRATS_221.nii.gz,0.8947,random,0.963448,0.892688
BRATS_222.nii.gz,0.9975,gradcam,0.964142,0.996721
BRATS_222.nii.gz,0.9975,ig,0.955655,0.995853
BRATS_222.nii.gz,0.9975,occlusion,0.970831,0.997082
BRATS_222.nii.gz,0.9975,tcav_edema,0.987054,0.987225
BRATS_222.nii.gz,0.9975,tcav_enhancing,0.974705,0.985976
BRATS_222.nii.gz,0.9975,tcav_non_enhancing,0.976369,0.985026
BRATS_222.nii.gz,0.9975,random,0.966397,0.993273
BRATS_224.nii.gz,0.9997,gradcam,0.896390,0.999607
BRATS_224.nii.gz,0.9997,ig,0.951701,0.999605
BRATS_224.nii.gz,0.9997,occlusion,0.643946,0.998928
BRATS_224.nii.gz,0.9997,tcav_edema,0.980324,0.999574
BRATS_224.nii.gz,0.9997,tcav_enhancing,0.979264,0.999604
BRATS_224.nii.gz,0.9997,tcav_non_enhancing,0.985351,0.999605
BRATS_224.nii.gz,0.9997,random,0.991284,0.999586
BRATS_225.nii.gz,1.0000,gradcam,0.840126,0.999998
BRATS_225.nii.gz,1.0000,ig,0.080841,0.999998
BRATS_225.nii.gz,1.0000,occlusion,0.381109,0.999998
BRATS_225.nii.gz,1.0000,tcav_edema,0.046211,0.999999
BRATS_225.nii.gz,1.0000,tcav_enhancing,0.054237,0.999999
BRATS_225.nii.gz,1.0000,tcav_non_enhancing,0.083241,0.999999
BRATS_225.nii.gz,1.0000,random,0.212995,0.999997
BRATS_267.nii.gz,0.9999,gradcam,0.056618,0.999238
BRATS_267.nii.gz,0.9999,ig,0.062883,0.999517
BRATS_267.nii.gz,0.9999,occlusion,0.060754,0.999150
BRATS_267.nii.gz,0.9999,tcav_edema,0.040698,0.999587
BRATS_267.nii.gz,0.9999,tcav_enhancing,0.048109,0.999502
BRATS_267.nii.gz,0.9999,tcav_non_enhancing,0.080392,0.999510
BRATS_267.nii.gz,0.9999,random,0.309306,0.999651
BRATS_275.nii.gz,0.9910,gradcam,0.071413,0.987678
BRATS_275.nii.gz,0.9910,ig,0.093131,0.983110
BRATS_275.nii.gz,0.9910,occlusion,0.086845,0.989158
BRATS_275.nii.gz,0.9910,tcav_edema,0.096125,0.987363
BRATS_275.nii.gz,0.9910,tcav_enhancing,0.066482,0.986157
BRATS_275.nii.gz,0.9910,tcav_non_enhancing,0.094792,0.986277
BRATS_275.nii.gz,0.9910,random,0.137194,0.985948
BRATS_278.nii.gz,0.9952,gradcam,0.894855,0.994197
BRATS_278.nii.gz,0.9952,ig,0.963520,0.994613
BRATS_278.nii.gz,0.9952,occlusion,0.961635,0.994098
BRATS_278.nii.gz,0.9952,tcav_edema,0.979425,0.994747
BRATS_278.nii.gz,0.9952,tcav_enhancing,0.981246,0.994838
BRATS_278.nii.gz,0.9952,tcav_non_enhancing,0.985818,0.994797
BRATS_278.nii.gz,0.9952,random,0.976543,0.994518
BRATS_279.nii.gz,0.9999,gradcam,0.100577,0.999686
BRATS_279.nii.gz,0.9999,ig,0.138591,0.999451
BRATS_279.nii.gz,0.9999,occlusion,0.061209,0.999510
BRATS_279.nii.gz,0.9999,tcav_edema,0.080226,0.999523
BRATS_279.nii.gz,0.9999,tcav_enhancing,0.114021,0.999601
BRATS_279.nii.gz,0.9999,tcav_non_enhancing,0.121013,0.999596
BRATS_279.nii.gz,0.9999,random,0.323648,0.999497
BRATS_302.nii.gz,0.9999,gradcam,0.976493,0.999810
BRATS_302.nii.gz,0.9999,ig,0.956968,0.999809
BRATS_302.nii.gz,0.9999,occlusion,0.960842,0.999808
BRATS_302.nii.gz,0.9999,tcav_edema,0.991364,0.999818
BRATS_302.nii.gz,0.9999,tcav_enhancing,0.997311,0.999813
BRATS_302.nii.gz,0.9999,tcav_non_enhancing,0.793096,0.999805
BRATS_302.nii.gz,0.9999,random,0.973933,0.999819
BRATS_330.nii.gz,0.9994,gradcam,0.986776,0.999312
BRATS_330.nii.gz,0.9994,ig,0.972667,0.999337
BRATS_330.nii.gz,0.9994,occlusion,0.916424,0.999145
BRATS_330.nii.gz,0.9994,tcav_edema,0.989103,0.999362
BRATS_330.nii.gz,0.9994,tcav_enhancing,0.981683,0.999359
BRATS_330.nii.gz,0.9994,tcav_non_enhancing,0.975058,0.999367
BRATS_330.nii.gz,0.9994,random,0.954547,0.999281
BRATS_333.nii.gz,0.9384,gradcam,0.410726,0.931273
BRATS_333.nii.gz,0.9384,ig,0.947492,0.937614
BRATS_333.nii.gz,0.9384,occlusion,0.201870,0.922424
BRATS_333.nii.gz,0.9384,tcav_edema,0.984757,0.940429
BRATS_333.nii.gz,0.9384,tcav_enhancing,0.968722,0.940480
BRATS_333.nii.gz,0.9384,tcav_non_enhancing,0.969011,0.940335
BRATS_333.nii.gz,0.9384,random,0.852945,0.933769
BRATS_340.nii.gz,0.9983,gradcam,0.948243,0.997961
BRATS_340.nii.gz,0.9983,ig,0.952936,0.998051
BRATS_340.nii.gz,0.9983,occlusion,0.628216,0.997917
BRATS_340.nii.gz,0.9983,tcav_edema,0.946637,0.998080
BRATS_340.nii.gz,0.9983,tcav_enhancing,0.970665,0.998025
BRATS_340.nii.gz,0.9983,tcav_non_enhancing,0.976999,0.998047
BRATS_340.nii.gz,0.9983,random,0.958064,0.998003
BRATS_348.nii.gz,0.9991,gradcam,0.042373,0.987329
BRATS_348.nii.gz,0.9991,ig,0.062032,0.987731
BRATS_348.nii.gz,0.9991,occlusion,0.048295,0.991859
BRATS_348.nii.gz,0.9991,tcav_edema,0.049669,0.989878
BRATS_348.nii.gz,0.9991,tcav_enhancing,0.052474,0.988599
BRATS_348.nii.gz,0.9991,tcav_non_enhancing,0.047362,0.988130
BRATS_348.nii.gz,0.9991,random,0.119862,0.984754
BRATS_350.nii.gz,0.9425,gradcam,0.821944,0.938262
BRATS_350.nii.gz,0.9425,ig,0.921359,0.942956
BRATS_350.nii.gz,0.9425,occlusion,0.671713,0.932040
BRATS_350.nii.gz,0.9425,tcav_edema,0.969515,0.943351
BRATS_350.nii.gz,0.9425,tcav_enhancing,0.972102,0.938630
BRATS_350.nii.gz,0.9425,tcav_non_enhancing,0.962786,0.938701
BRATS_350.nii.gz,0.9425,random,0.951334,0.939158
BRATS_352.nii.gz,0.9886,gradcam,0.711745,0.987359
BRATS_352.nii.gz,0.9886,ig,0.946433,0.989483
BRATS_352.nii.gz,0.9886,occlusion,0.978387,0.986709
BRATS_352.nii.gz,0.9886,tcav_edema,0.988770,0.989834
BRATS_352.nii.gz,0.9886,tcav_enhancing,0.985099,0.989982
BRATS_352.nii.gz,0.9886,tcav_non_enhancing,0.991948,0.990014
BRATS_352.nii.gz,0.9886,random,0.959614,0.989028
BRATS_360.nii.gz,0.9989,gradcam,0.929617,0.998598
BRATS_360.nii.gz,0.9989,ig,0.961426,0.998690
BRATS_360.nii.gz,0.9989,occlusion,0.976657,0.998467
BRATS_360.nii.gz,0.9989,tcav_edema,0.972136,0.998686
BRATS_360.nii.gz,0.9989,tcav_enhancing,0.976091,0.998716
BRATS_360.nii.gz,0.9989,tcav_non_enhancing,0.979724,0.998717
BRATS_360.nii.gz,0.9989,random,0.984762,0.998676
BRATS_369.nii.gz,0.9938,gradcam,0.245974,0.971868
BRATS_369.nii.gz,0.9938,ig,0.092498,0.963021
BRATS_369.nii.gz,0.9938,occlusion,0.037446,0.955828
BRATS_369.nii.gz,0.9938,tcav_edema,0.054601,0.960642
BRATS_369.nii.gz,0.9938,tcav_enhancing,0.070422,0.959687
BRATS_369.nii.gz,0.9938,tcav_non_enhancing,0.070831,0.962287
BRATS_369.nii.gz,0.9938,random,0.096780,0.970140
BRATS_373.nii.gz,0.9992,gradcam,0.983676,0.999021
BRATS_373.nii.gz,0.9992,ig,0.964316,0.999053
BRATS_373.nii.gz,0.9992,occlusion,0.664817,0.997392
BRATS_373.nii.gz,0.9992,tcav_edema,0.992439,0.999167
BRATS_373.nii.gz,0.9992,tcav_enhancing,0.993821,0.998494
BRATS_373.nii.gz,0.9992,tcav_non_enhancing,0.980602,0.998374
BRATS_373.nii.gz,0.9992,random,0.952202,0.998985
BRATS_382.nii.gz,0.9973,gradcam,0.842109,0.996489
BRATS_382.nii.gz,0.9973,ig,0.968536,0.997153
BRATS_382.nii.gz,0.9973,occlusion,0.702849,0.996350
BRATS_382.nii.gz,0.9973,tcav_edema,0.994822,0.997152
BRATS_382.nii.gz,0.9973,tcav_enhancing,0.994286,0.997182
BRATS_382.nii.gz,0.9973,tcav_non_enhancing,0.993601,0.997185
BRATS_382.nii.gz,0.9973,random,0.979986,0.996524
BRATS_386.nii.gz,0.9481,gradcam,0.816734,0.944327
BRATS_386.nii.gz,0.9481,ig,0.966325,0.948269
BRATS_386.nii.gz,0.9481,occlusion,0.712372,0.938695
BRATS_386.nii.gz,0.9481,tcav_edema,0.983976,0.950521
BRATS_386.nii.gz,0.9481,tcav_enhancing,0.985571,0.950413
BRATS_386.nii.gz,0.9481,tcav_non_enhancing,0.985361,0.950544
BRATS_386.nii.gz,0.9481,random,0.967168,0.946845
BRATS_389.nii.gz,0.9934,gradcam,0.959118,0.991923
BRATS_389.nii.gz,0.9934,ig,0.940837,0.992801
BRATS_389.nii.gz,0.9934,occlusion,0.924611,0.991903
BRATS_389.nii.gz,0.9934,tcav_edema,0.963510,0.993126
BRATS_389.nii.gz,0.9934,tcav_enhancing,0.966612,0.993025
BRATS_389.nii.gz,0.9934,tcav_non_enhancing,0.981598,0.993059
BRATS_389.nii.gz,0.9934,random,0.977027,0.992723
BRATS_391.nii.gz,0.8737,gradcam,0.626812,0.834488
BRATS_391.nii.gz,0.8737,ig,0.955517,0.836881
BRATS_391.nii.gz,0.8737,occlusion,0.828925,0.830768
BRATS_391.nii.gz,0.8737,tcav_edema,0.974153,0.793515
BRATS_391.nii.gz,0.8737,tcav_enhancing,0.971931,0.795472
BRATS_391.nii.gz,0.8737,tcav_non_enhancing,0.975001,0.790112
BRATS_391.nii.gz,0.8737,random,0.939055,0.844147
BRATS_396.nii.gz,0.9823,gradcam,0.062705,0.947480
BRATS_396.nii.gz,0.9823,ig,0.047833,0.951379
BRATS_396.nii.gz,0.9823,occlusion,0.044468,0.944987
BRATS_396.nii.gz,0.9823,tcav_edema,0.076187,0.950642
BRATS_396.nii.gz,0.9823,tcav_enhancing,0.092402,0.949537
BRATS_396.nii.gz,0.9823,tcav_non_enhancing,0.083810,0.950699
BRATS_396.nii.gz,0.9823,random,0.194420,0.968490
BRATS_400.nii.gz,0.9618,gradcam,0.149121,0.897428
BRATS_400.nii.gz,0.9618,ig,0.081968,0.899585
BRATS_400.nii.gz,0.9618,occlusion,0.066502,0.890865
