dataset,arch,operator,file,conf,method,vol_auc,slice_auc
brats,reference,context-nn,vol0054,0.8631,ig,0.042365,0.805152
brats,reference,context-nn,vol0054,0.8631,occlusion,0.294796,0.805464
brats,reference,context-nn,vol0054,0.8631,random,0.370527,0.819809
brats,reference,context-nn,vol0055,0.9619,gradcam,0.126018,0.940267
brats,reference,context-nn,vol0055,0.9619,ig,0.197414,0.939281
brats,reference,context-nn,vol0055,0.9619,occlusion,0.048053,0.937646
brats,reference,context-nn,vol0055,0.9619,random,0.452863,0.941342
brats,reference,context-nn,vol0056,0.6584,gradcam,0.114142,0.605342
brats,reference,context-nn,vol0056,0.6584,ig,0.244706,0.582283
brats,reference,context-nn,vol0056,0.6584,occlusion,0.220731,0.573349
brats,reference,context-nn,vol0056,0.6584,random,0.109727,0.582621
brats,reference,context-nn,vol0057,0.9185,gradcam,0.920637,0.861044
brats,reference,context-nn,vol0057,0.9185,ig,0.777426,0.906879
brats,reference,context-nn,vol0057,0.9185,occlusion,0.830655,0.860303
brats,reference,context-nn,vol0057,0.9185,random,0.851718,0.924256
brats,reference,context-nn,vol0058,0.7748,gradcam,0.548543,0.786778
brats,reference,context-nn,vol0058,0.7748,ig,0.972218,0.763936
brats,reference,context-nn,vol0058,0.7748,occlusion,0.554397,0.755640
brats,reference,context-nn,vol0058,0.7748,random,0.986202,0.813751
brats,reference,context-nn,vol0059,0.9656,gradcam,0.054071,0.951099
brats,reference,context-nn,vol0059,0.9656,ig,0.049282,0.943775
brats,reference,context-nn,vol0059,0.9656,occlusion,0.055628,0.943374
brats,reference,context-nn,vol0059,0.9656,random,0.406758,0.944998
brats,reference,context-nn,vol0060,0.9488,gradcam,0.810872,0.955592
brats,reference,context-nn,vol0060,0.9488,ig,0.841529,0.950196
brats,reference,context-nn,vol0060,0.9488,occlusion,0.945413,0.950759
brats,reference,context-nn,vol0060,0.9488,random,0.918449,0.957714
brats,reference,context-nn,vol0061,0.9985,gradcam,0.915153,0.994017
brats,reference,context-nn,vol0061,0.9985,ig,0.790547,0.994561
brats,reference,context-nn,vol0061,0.9985,occlusion,0.780313,0.994163
brats,reference,context-nn,vol0061,0.9985,random,0.942656,0.997882
brats,reference,context-nn,vol0062,0.5578,gradcam,0.700335,0.635139
brats,reference,context-nn,vol0062,0.5578,ig,0.923655,0.636046
brats,reference,context-nn,vol0062,0.5578,occlusion,0.693184,0.577665
brats,reference,context-nn,vol0062,0.5578,random,0.774762,0.627625
brats,reference,context-nn,vol0063,0.5715,gradcam,0.853458,0.610135
brats,reference,context-nn,vol0063,0.5715,ig,0.877583,0.624833
brats,reference,context-nn,vol0063,0.5715,occlusion,0.619767,0.589325
brats,reference,context-nn,vol0063,0.5715,random,0.961201,0.620707
brats,reference,context-nn,vol0064,0.8601,gradcam,0.072642,0.801425
brats,reference,context-nn,vol0064,0.8601,ig,0.272189,0.799749
brats,reference,context-nn,vol0064,0.8601,occlusion,0.028965,0.789900
brats,reference,context-nn,vol0064,0.8601,random,0.184275,0.802990
brats,reference,context-nn,vol0065,0.9903,gradcam,0.990081,0.978765
brats,reference,context-nn,vol0065,0.9903,ig,0.805932,0.971694
brats,reference,context-nn,vol0065,0.9903,occlusion,0.973666,0.985742
brats,reference,context-nn,vol0065,0.9903,random,0.937680,0.990425
brats,reference,context-nn,vol0066,0.9913,gradcam,0.095423,0.985491
brats,reference,context-nn,vol0066,0.9913,ig,0.143759,0.983815
brats,reference,context-nn,vol0066,0.9913,occlusion,0.276151,0.983573
brats,reference,context-nn,vol0066,0.9913,random,0.401636,0.985150
brats,reference,context-nn,vol0067,0.9904,gradcam,0.977979,0.983708
brats,reference,context-nn,vol0067,0.9904,ig,0.838877,0.989191
brats,reference,context-nn,vol0067,0.9904,occlusion,0.592203,0.981203
brats,reference,context-nn,vol0067,0.9904,random,0.963315,0.991575
brats,reference,context-nn,vol0068,0.9621,gradcam,0.946826,0.956332
